"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 30, 2020","22,327.48","21,678.22","22,378.09","21,522.08","546.85M","3.19%"
"Mar 27, 2020","21,636.78","21,898.47","22,327.57","21,469.27","591.33M","-4.06%"
"Mar 26, 2020","22,552.17","21,468.38","22,595.06","21,427.10","713.73M","6.38%"
"Mar 25, 2020","21,200.55","21,050.34","22,019.93","20,538.34","803.31M","2.39%"
"Mar 24, 2020","20,704.91","19,722.19","20,737.70","19,649.25","808.47M","11.37%"
"Mar 23, 2020","18,591.93","19,028.36","19,121.01","18,213.65","801.24M","-3.04%"
"Mar 20, 2020","19,173.98","20,253.15","20,531.26","19,094.27","872.29M","-4.55%"
"Mar 19, 2020","20,087.19","19,830.01","20,442.63","19,177.13","795.80M","0.95%"
"Mar 18, 2020","19,898.92","20,188.69","20,489.33","18,917.46","874.09M","-6.30%"
"Mar 17, 2020","21,237.38","20,487.05","21,379.35","19,882.26","795.84M","5.20%"
"Mar 16, 2020","20,188.52","20,917.53","21,768.28","20,116.46","775.91M","-12.93%"
"Mar 13, 2020","23,185.62","21,973.82","23,189.76","21,285.37","843.08M","9.36%"
"Mar 12, 2020","21,200.62","22,184.71","22,837.95","21,154.46","911.77M","-9.99%"
"Mar 11, 2020","23,553.22","24,604.63","24,604.63","23,328.32","663.96M","-5.86%"
"Mar 10, 2020","25,018.16","24,453.00","25,020.99","23,690.34","654.86M","4.89%"
"Mar 09, 2020","23,851.02","24,992.36","24,992.36","23,706.07","750.43M","-7.79%"
"Mar 06, 2020","25,864.78","25,457.21","25,994.38","25,226.62","601.01M","-0.98%"
"Mar 05, 2020","26,121.28","26,671.92","26,671.92","25,943.33","477.37M","-3.58%"
"Mar 04, 2020","27,090.86","26,383.68","27,102.34","26,286.31","457.59M","4.53%"
"Mar 03, 2020","25,917.41","26,762.47","27,084.59","25,706.28","647.08M","-2.94%"
"Mar 02, 2020","26,703.32","25,590.51","26,706.17","25,391.96","637.20M","5.09%"
"Feb 28, 2020","25,409.36","25,270.83","25,494.24","24,681.01","922.68M","-1.39%"
"Feb 27, 2020","25,766.64","26,526.00","26,775.31","25,752.82","670.37M","-4.42%"
"Feb 26, 2020","26,957.59","27,159.46","27,542.78","26,890.97","477.57M","-0.46%"
"Feb 25, 2020","27,081.36","28,037.65","28,149.20","26,997.62","513.27M","-3.15%"
"Feb 24, 2020","27,960.80","28,402.93","28,402.93","27,912.44","458.71M","-3.56%"
"Feb 21, 2020","28,992.41","29,146.53","29,146.53","28,892.70","313.44M","-0.78%"
"Feb 20, 2020","29,219.98","29,296.25","29,368.45","28,959.65","289.07M","-0.44%"
"Feb 19, 2020","29,348.03","29,312.70","29,409.09","29,274.38","242.65M","0.40%"
"Feb 18, 2020","29,232.19","29,282.78","29,330.16","29,116.81","264.16M","-0.56%"
"Feb 14, 2020","29,398.08","29,440.47","29,463.04","29,283.18","232.55M","-0.09%"
"Feb 13, 2020","29,423.31","29,436.03","29,535.40","29,345.93","294.36M","-0.43%"
"Feb 12, 2020","29,551.42","29,406.75","29,568.57","29,406.75","309.53M","0.94%"
"Feb 11, 2020","29,276.34","29,390.71","29,415.39","29,210.47","281.85M","-0.00%"
"Feb 10, 2020","29,276.82","28,995.66","29,278.07","28,995.66","257.46M","0.60%"
"Feb 07, 2020","29,102.51","29,286.92","29,286.92","29,056.98","253.87M","-0.94%"
"Feb 06, 2020","29,379.77","29,388.58","29,408.05","29,246.93","263.70M","0.30%"
"Feb 05, 2020","29,290.85","29,048.73","29,308.89","29,000.85","357.54M","1.68%"
"Feb 04, 2020","28,807.63","28,696.74","28,904.88","28,696.74","332.75M","1.44%"
"Feb 03, 2020","28,399.81","28,319.65","28,630.39","28,319.65","315.50M","0.51%"
"Jan 31, 2020","28,256.03","28,813.04","28,813.04","28,169.53","403.89M","-2.09%"
"Jan 30, 2020","28,859.44","28,640.16","28,879.71","28,489.76","326.85M","0.43%"
"Jan 29, 2020","28,734.45","28,820.53","28,944.24","28,728.19","305.93M","0.04%"
"Jan 28, 2020","28,722.85","28,594.28","28,823.23","28,575.75","352.94M","0.66%"
"Jan 27, 2020","28,535.80","28,542.49","28,671.79","28,440.47","337.27M","-1.57%"
"Jan 24, 2020","28,989.73","29,230.39","29,288.79","28,843.31","380.01M","-0.58%"
"Jan 23, 2020","29,160.09","29,111.02","29,190.47","28,966.98","307.06M","-0.09%"
"Jan 22, 2020","29,186.27","29,263.63","29,320.20","29,172.26","283.44M","-0.03%"
